Date,Ticker,Time Frame,Open,High,Low,Close,Volume,Wave_EMA_High,Wave_EMA_Close,Wave_EMA_Low,Tunnel_EMA_High,Tunnel_EMA_Low,EMA_12_Filter,Band_Distance,Upper_Band,Lower_Band,Weekly_EMA,Weekly_Upper_Band,Weekly_Lower_Band
2024-06-04 09:30:00,ICLN,5 mins,15.0,15.0,14.91,14.93,1658,15.0,14.93,14.91,14.93,14.93,14.93,7.465,22.395,7.465,14.93,22.395,7.465
2024-06-04 09:35:00,ICLN,5 mins,14.94,14.97,14.94,14.94,152,15.0,14.93,14.91,14.93,14.93,14.93,7.465,22.395,7.465,14.930571428571428,22.39557142857143,7.465571428571428
2024-06-04 09:40:00,ICLN,5 mins,14.94,14.95,14.9,14.93,886,15.0,14.93,14.91,14.93,14.93,14.93,7.465,22.395,7.465,14.930538775510202,22.395538775510204,7.465538775510202
2024-06-04 09:45:00,ICLN,5 mins,14.93,14.97,14.93,14.95,323,14.99,14.93,14.91,14.93,14.93,14.93,7.465,22.395,7.465,14.931650845481046,22.396650845481048,7.4666508454810465
2024-06-04 09:50:00,ICLN,5 mins,14.95,14.98,14.94,14.95,429,14.99,14.93,14.91,14.93,14.93,14.94,7.465,22.395,7.465,14.932699368596415,22.397699368596413,7.467699368596415
2024-06-04 09:55:00,ICLN,5 mins,14.96,14.96,14.92,14.96,207,14.99,14.93,14.91,14.93,14.93,14.94,7.465,22.395,7.465,14.934259404676618,22.39925940467662,7.4692594046766185
2024-06-04 10:00:00,ICLN,5 mins,14.97,15.02,14.97,14.99,791,14.99,14.94,14.92,14.93,14.93,14.95,7.47,22.41,7.47,14.937444581552239,22.407444581552237,7.467444581552239
2024-06-04 10:05:00,ICLN,5 mins,14.99,14.99,14.93,14.97,1105,14.99,14.94,14.92,14.93,14.93,14.95,7.47,22.41,7.47,14.939304891177825,22.409304891177825,7.469304891177825
2024-06-04 10:10:00,ICLN,5 mins,14.97,14.97,14.93,14.95,949,14.99,14.94,14.92,14.93,14.93,14.95,7.47,22.41,7.47,14.939916040253378,22.40991604025338,7.469916040253378
2024-06-04 10:15:00,ICLN,5 mins,14.95,14.98,14.94,14.95,1123,14.99,14.94,14.92,14.93,14.93,14.95,7.47,22.41,7.47,14.940492266524613,22.410492266524614,7.470492266524613
2024-06-04 10:20:00,ICLN,5 mins,14.95,14.96,14.91,14.93,122,14.99,14.94,14.92,14.93,14.93,14.95,7.47,22.41,7.47,14.93989270843749,22.40989270843749,7.469892708437491
2024-06-04 10:25:00,ICLN,5 mins,14.93,14.95,14.92,14.94,329,14.99,14.94,14.92,14.93,14.93,14.95,7.47,22.41,7.47,14.93989883938392,22.40989883938392,7.46989883938392
2024-06-04 10:30:00,ICLN,5 mins,14.93,14.96,14.92,14.93,500,14.99,14.94,14.92,14.93,14.93,14.94,7.47,22.41,7.47,14.939333191419124,22.409333191419122,7.469333191419124
2024-06-04 10:35:00,ICLN,5 mins,14.93,14.93,14.9,14.92,674,14.98,14.94,14.92,14.93,14.93,14.94,7.47,22.41,7.47,14.938228437623744,22.408228437623745,7.468228437623744
